2017/05/16 22:51:53 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:00 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:00 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:00 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:00 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:06 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:06 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:06 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:06 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:12 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:12 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:12 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:12 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:18 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:18 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:18 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:18 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:24 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:24 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:24 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:24 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:30 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:30 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:30 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:30 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:36 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:36 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:36 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:36 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:42 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:42 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:42 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:42 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:48 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:48 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:48 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:48 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:52:54 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:52:54 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:52:54 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:52:54 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:00 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:00 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:00 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:53:00 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:06 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:06 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:06 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:53:06 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:12 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:12 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:12 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:53:12 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:18 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:18 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:18 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:53:18 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:21 [I] [asm_amd64.s:2086] http server Running on http://:8081
2017/05/16 22:53:24 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:24 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:24 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:53:24 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:30 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:30 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:30 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
2017/05/16 22:53:30 [D] [factoryController.go:38] MainController.Get, after query factory: {4 c 排产=1345&切长=1234&本班累计=12345&1车车速=120&合格=666&车速=180&本班剩余=1000&2车车速=130&剩余=2222&平均=160&行车数量=128&3车车速=125&不良品=888&行机时间=4567&行机次数=56&生产损耗=25%&开工时间=2017-03-13 08:08&时间=2017-03-13 08:08&班组=A&修边损耗=20% 一号线} 
2017/05/16 22:53:36 [D] [factoryController.go:21] mainController.get, factory: c 
2017/05/16 22:53:36 [D] [factoryController.go:22] mainController.get, group: 一号线 
2017/05/16 22:53:36 [D] [factoryController.go:31] MainController.Get, before query factory: {0 c  一号线} 
